id,user,content,num_likes,num_comments,num_good_comments,num_bad_comments,num_neutral_comments,num_retwetts,num_followers
AAA75,usuario45,El mundo es muy triste,625,132,3,60,69,15,126
AAA76,usuario96,Mi papas son los mejores,664,50,3,4,43,90,206
AAA77,usuario23,Disfrutando en familia,697,155,60,9,86,85,226
AAA78,usuario98,Estoy con COVID19,344,174,3,90,81,96,198
AAA79,usuario12,Feliz por este nuevo logro,887,79,18,0,61,100,196
AAA80,usuario30,Juntos en familia,679,127,15,15,97,18,820
AAA81,usuario32,Respirando aire puro,308,85,20,9,56,94,1000
AAA82,usuario95,Viajando por el mundo,493,49,10,1,38,64,428
AAA83,usuario81,Debemos vacunarnos,52,51,3,3,45,96,825
AAA84,usuario42,Debemos cuidarnos de virus,449,124,34,30,60,29,360
AAA85,usuario89,No hay paz en este país,35,123,20,23,80,51,762
AAA86,usuario59,Disfrutando del viaje,653,102,25,31,46,44,570
AAA87,usuario78,Juntos en familia,907,31,7,7,17,9,439
AAA88,usuario90,Juntos por siempre,636,77,23,20,34,13,802
AAA89,usuario14,Vacunas gratis,29,87,16,15,56,69,280
AAA90,usuario53,Tengo la mejor familia del mundo,126,97,45,46,6,98,834
AAA91,usuario27,No encuentro trabajo,286,122,60,8,54,44,776
AAA92,usuario84,Disfrutando del nuevo miembro de la familia,477,177,80,6,91,63,650
AAA93,usuario36,Feliz en familia,890,84,15,16,53,79,219
AAA94,usuario30,Mi novia la mejor del mundo,369,59,7,7,45,11,682
AAA95,usuario34,Disfrutando esta comida en familia,851,66,7,30,29,67,993
AAA96,usuario88,Mi nuevo carro esta genial,925,128,37,30,61,53,898
AAA97,usuario61,No hay paz en este país,139,103,4,15,84,20,271
AAA98,usuario11,Viajando a México,606,48,5,4,39,88,676
AAA99,usuario27,El gobierno no ayuda al pueblo,465,79,23,30,26,63,251
AAA100,usuario3,Mi familia mi mejor tesoro,902,174,20,60,94,71,734
